"","Route","Month","category","value","Date"
"1",16,"apr_19","pct_early",0.088453018,"2019-04"
"2",16,"apr_19","pct_ontime",0.737882963,"2019-04"
"3",16,"apr_19","pct_late",0.173664019,"2019-04"
"4",16,"may_19","pct_early",0.081391804,"2019-05"
"5",16,"may_19","pct_ontime",0.705177895,"2019-05"
"6",16,"may_19","pct_late",0.213430301,"2019-05"
"7",16,"jun_19","pct_early",0.104522026,"2019-06"
"8",16,"jun_19","pct_ontime",0.72490568,"2019-06"
"9",16,"jun_19","pct_late",0.170572294,"2019-06"
"10",16,"jul_19","pct_early",0.105862914,"2019-07"
"11",16,"jul_19","pct_ontime",0.747820637,"2019-07"
"12",16,"jul_19","pct_late",0.146316449,"2019-07"
"13",16,"aug_19","pct_early",0.119629159,"2019-08"
"14",16,"aug_19","pct_ontime",0.719892701,"2019-08"
"15",16,"aug_19","pct_late",0.16047814,"2019-08"
"16",16,"sep_19","pct_early",0.09761689,"2019-09"
"17",16,"sep_19","pct_ontime",0.696166764,"2019-09"
"18",16,"sep_19","pct_late",0.206216346,"2019-09"
"19",16,"oct_19","pct_early",0.103533107,"2019-10"
"20",16,"oct_19","pct_ontime",0.725621565,"2019-10"
"21",16,"oct_19","pct_late",0.170845328,"2019-10"
"22",16,"nov_19","pct_early",0.122060422,"2019-11"
"23",16,"nov_19","pct_ontime",0.727363617,"2019-11"
"24",16,"nov_19","pct_late",0.150575962,"2019-11"
"25",16,"dec_19","pct_early",0.147227327,"2019-12"
"26",16,"dec_19","pct_ontime",0.725867474,"2019-12"
"27",16,"dec_19","pct_late",0.126905199,"2019-12"
"28",16,"jan_20","pct_early",0.155046164,"2020-01"
"29",16,"jan_20","pct_ontime",0.72821819,"2020-01"
"30",16,"jan_20","pct_late",0.116735647,"2020-01"
"31",16,"feb_20","pct_early",0.119769508,"2020-02"
"32",16,"feb_20","pct_ontime",0.744412731,"2020-02"
"33",16,"feb_20","pct_late",0.135817761,"2020-02"
"34",16,"mar_20","pct_early",0.161494617,"2020-03"
"35",16,"mar_20","pct_ontime",0.733882204,"2020-03"
"36",16,"mar_20","pct_late",0.104623179,"2020-03"
"37",21,"apr_19","pct_early",0.082522533,"2019-04"
"38",21,"apr_19","pct_ontime",0.702501045,"2019-04"
"39",21,"apr_19","pct_late",0.214976422,"2019-04"
"40",21,"may_19","pct_early",0.096407715,"2019-05"
"41",21,"may_19","pct_ontime",0.684693527,"2019-05"
"42",21,"may_19","pct_late",0.218898758,"2019-05"
"43",21,"jun_19","pct_early",0.081745176,"2019-06"
"44",21,"jun_19","pct_ontime",0.711135083,"2019-06"
"45",21,"jun_19","pct_late",0.207119741,"2019-06"
"46",21,"jul_19","pct_early",0.104969291,"2019-07"
"47",21,"jul_19","pct_ontime",0.703747496,"2019-07"
"48",21,"jul_19","pct_late",0.191283213,"2019-07"
"49",21,"aug_19","pct_early",0.098698455,"2019-08"
"50",21,"aug_19","pct_ontime",0.709354702,"2019-08"
"51",21,"aug_19","pct_late",0.191946843,"2019-08"
"52",21,"sep_19","pct_early",0.094084992,"2019-09"
"53",21,"sep_19","pct_ontime",0.722690148,"2019-09"
"54",21,"sep_19","pct_late",0.18322486,"2019-09"
"55",21,"oct_19","pct_early",0.096998961,"2019-10"
"56",21,"oct_19","pct_ontime",0.709981053,"2019-10"
"57",21,"oct_19","pct_late",0.193019987,"2019-10"
"58",21,"nov_19","pct_early",0.127178793,"2019-11"
"59",21,"nov_19","pct_ontime",0.713515411,"2019-11"
"60",21,"nov_19","pct_late",0.159305796,"2019-11"
"61",21,"dec_19","pct_early",0.130618021,"2019-12"
"62",21,"dec_19","pct_ontime",0.736395238,"2019-12"
"63",21,"dec_19","pct_late",0.132986741,"2019-12"
"64",21,"jan_20","pct_early",0.150412961,"2020-01"
"65",21,"jan_20","pct_ontime",0.746664549,"2020-01"
"66",21,"jan_20","pct_late",0.10292249,"2020-01"
"67",21,"feb_20","pct_early",0.128887915,"2020-02"
"68",21,"feb_20","pct_ontime",0.766130546,"2020-02"
"69",21,"feb_20","pct_late",0.104981538,"2020-02"
"70",21,"mar_20","pct_early",0.219609741,"2020-03"
"71",21,"mar_20","pct_ontime",0.692072549,"2020-03"
"72",21,"mar_20","pct_late",0.088317709,"2020-03"
"73",42,"apr_19","pct_early",0.08294882,"2019-04"
"74",42,"apr_19","pct_ontime",0.646274198,"2019-04"
"75",42,"apr_19","pct_late",0.270776982,"2019-04"
"76",42,"may_19","pct_early",0.078644053,"2019-05"
"77",42,"may_19","pct_ontime",0.626281883,"2019-05"
"78",42,"may_19","pct_late",0.295074064,"2019-05"
"79",42,"jun_19","pct_early",0.087722056,"2019-06"
"80",42,"jun_19","pct_ontime",0.651522297,"2019-06"
"81",42,"jun_19","pct_late",0.260755646,"2019-06"
"82",42,"jul_19","pct_early",0.110516683,"2019-07"
"83",42,"jul_19","pct_ontime",0.691961143,"2019-07"
"84",42,"jul_19","pct_late",0.197522174,"2019-07"
"85",42,"aug_19","pct_early",0.10059909,"2019-08"
"86",42,"aug_19","pct_ontime",0.664574952,"2019-08"
"87",42,"aug_19","pct_late",0.234825958,"2019-08"
"88",42,"sep_19","pct_early",0.098813901,"2019-09"
"89",42,"sep_19","pct_ontime",0.675716774,"2019-09"
"90",42,"sep_19","pct_late",0.225469325,"2019-09"
"91",42,"oct_19","pct_early",0.092091959,"2019-10"
"92",42,"oct_19","pct_ontime",0.655633016,"2019-10"
"93",42,"oct_19","pct_late",0.252275025,"2019-10"
"94",42,"nov_19","pct_early",0.094530099,"2019-11"
"95",42,"nov_19","pct_ontime",0.687289683,"2019-11"
"96",42,"nov_19","pct_late",0.218180219,"2019-11"
"97",42,"dec_19","pct_early",0.106746234,"2019-12"
"98",42,"dec_19","pct_ontime",0.682544355,"2019-12"
"99",42,"dec_19","pct_late",0.210709412,"2019-12"
"100",42,"jan_20","pct_early",0.108606901,"2020-01"
"101",42,"jan_20","pct_ontime",0.720709133,"2020-01"
"102",42,"jan_20","pct_late",0.170683966,"2020-01"
"103",42,"feb_20","pct_early",0.085543153,"2020-02"
"104",42,"feb_20","pct_ontime",0.725946093,"2020-02"
"105",42,"feb_20","pct_late",0.188510754,"2020-02"
"106",42,"mar_20","pct_early",0.161020811,"2020-03"
"107",42,"mar_20","pct_ontime",0.718322085,"2020-03"
"108",42,"mar_20","pct_late",0.120657104,"2020-03"
