Route,Direction,Pattern,Early AM 03:00 - 05:59 Vehicle Hours,Early AM 03:00 - 05:59 Psg,Early AM 03:00 - 05:59 Psg/VH,AM Peak 06:00 - 08:59 Vehicle Hours,AM Peak 06:00 - 08:59 Psg,AM Peak 06:00 - 08:59 Psg/VH,Midday 09:00 - 14:59 Vehicle Hours,Midday 09:00 - 14:59 Psg,Midday 09:00 - 14:59 Psg/VH,PM Peak 15:00 - 17:59 Vehicle Hours,PM Peak 15:00 - 17:59 Psg,PM Peak 15:00 - 17:59 Psg/VH,Evening 18:00 - 21:59 Vehicle Hours,Evening 18:00 - 21:59 Psg,Evening 18:00 - 21:59 Psg/VH,Late Night 22:00 - 02:59 Vehicle Hours,Late Night 22:00 - 02:59 Psg,Late Night 22:00 - 02:59 Psg/VH,Total  Vehicle Hours,Total  Psg,Total  Psg/VH
,,,62.5,1737.3,0,452.4,22970,0,670.1,28024,0,401.6,18397.8,0,292.1,8151.8,0,102.6,2391.3,0,1021.9,41705,40.8
42,Eastbound,E03,97.3,2881,29.6,480.2,23131,48.2,588.6,26400,44.9,291.2,12324,42.3,191.3,4644,24.3,64.2,1087,16.9,1712.8,70467,41.1
42,Eastbound,E01,100.9,3033,30.1,497.5,25912,52.1,721.8,31400,43.5,451.7,18479,40.9,310.3,7644,24.6,77.5,1279,16.5,2159.8,87747,40.6
42,Westbound,W01,72.6,2089,28.8,416.8,21360,51.2,704.3,27521,39.1,547.1,26634,48.7,378.8,11165,29.5,187.2,4928,26.3,2306.9,93697,40.6
42,Westbound,W02,72.1,4076,56.5,415.3,21477,51.7,665.8,26775,40.2,316.5,16154,51,287.9,9154,31.8,81.2,2271,28,1838.8,79907,43.5
42,Eastbound,E02,28.2,327,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,327,11.6
42,Eastbound,E04,39.7,387,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,387,9.8
42,Westbound,W04,30.9,357,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,357,11.6
42,Westbound,W03,58.3,748,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3,748,12.8
