"","Route","Period","mean_ons","mean_duration","mean_ppvh","mean_dist","mean_mph","mean_ppm","mean_pm","max_load"
"1","16","1-Early AM",39,45,54,9,12,4,117,40
"2","16","2-AM Peak",56,54,64,9,10,7,128,42
"3","16","3-Midday",71,63,67,9,9,8,163,40
"4","16","4-PM Peak",72,65,65,9,9,8,178,42
"5","16","5-Evening",47,53,53,9,11,5,147,29
"6","16","6-Late Night",24,41,35,9,14,3,94,20
"7","21","1-Early AM",20,37,32,6,10,3,44,16
"8","21","2-AM Peak",42,48,51,6,8,7,65,42
"9","21","3-Midday",53,56,57,6,7,9,76,37
"10","21","4-PM Peak",59,58,60,6,6,10,89,42
"11","21","5-Evening",35,49,43,6,8,6,61,30
"12","21","6-Late Night",19,39,28,6,10,3,42,20
"13","23","1-Early AM",25,42,35,9,13,3,73,25
"14","23","2-AM Peak",77,67,69,10,9,8,181,53
"15","23","3-Midday",77,73,64,10,8,8,181,52
"16","23","4-PM Peak",80,74,65,10,8,8,191,48
"17","23","5-Evening",44,58,45,10,11,4,127,33
"18","23","6-Late Night",27,47,34,10,13,3,93,28
"19","310","1-Early AM",11,27,25,8,18,1,27,10
"20","310","2-AM Peak",9,33,16,8,15,1,28,12
"21","310","3-Midday",11,33,19,8,15,1,29,13
"22","310","4-PM Peak",15,35,26,8,14,2,46,15
"23","310","5-Evening",12,27,27,8,17,2,38,20
"24","310","6-Late Night",14,18,63,6,21,3,34,18
"25","42","1-Early AM",17,38,26,7,11,2,45,34
"26","42","2-AM Peak",48,55,51,7,8,6,93,40
"27","42","3-Midday",44,63,42,7,7,6,77,38
"28","42","4-PM Peak",50,65,46,7,7,7,93,42
"29","42","5-Evening",25,54,28,7,8,3,56,25
"30","42","6-Late Night",18,45,24,8,10,2,52,22
"31","LUCY GO","2-AM Peak",31,21,100,2,7,15,24,36
"32","LUCY GO","3-Midday",17,31,38,3,7,6,17,22
"33","LUCY GO","4-PM Peak",21,35,35,4,7,5,21,20
"34","LUCY GO","5-Evening",7,28,14,4,9,2,8,7
